id,circlecount,size (radius),time (ns),overlap (square units),nancount,Time
Packomania 0 (100),100,11.22161834,12905208,1.96E-21,0,0s:12ms
Packomania 0 (105),105,11.64994408,29790763,2.25E-21,0,0s:29ms
Packomania 0 (110),110,11.92957553,10852227,2.45E-21,0,0s:10ms
Packomania 0 (115),115,11.98886264,11424446,3.36E-21,0,0s:11ms
Packomania 0 (120),120,12.13552873,11152672,3.70E-21,0,0s:11ms
Packomania 0 (125),125,12.63447234,11581498,3.91E-21,0,0s:11ms
Packomania 0 (130),130,12.82320937,11963387,4.19E-21,0,0s:11ms
Packomania 0 (135),135,13.01998336,22321851,4.35E-21,0,0s:22ms
Packomania 0 (140),140,13.22020185,31092788,3.65E-21,0,0s:31ms
Packomania 0 (145),145,13.60654706,28910946,3.88E-21,0,0s:28ms
Packomania 0 (150),150,13.69673582,16990768,5.46E-21,0,0s:16ms
Packomania 0 (155),155,13.83517111,15153319,5.48E-21,0,0s:15ms
Packomania 0 (160),160,14.23855201,21699000,5.75E-21,0,0s:21ms
Packomania 0 (165),165,14.37576869,16738900,7.95E-21,0,0s:16ms
Packomania 0 (170),170,14.46358601,19021043,5.09E-21,0,0s:19ms
Packomania 0 (175),175,14.81122732,17640949,5.56E-21,0,0s:17ms
Packomania 0 (180),180,15.04283402,16988876,8.22E-21,0,0s:16ms
Packomania 0 (185),185,15.17744688,18070906,8.49E-21,0,0s:18ms
Packomania 0 (190),190,15.44005747,18633414,5.98E-21,0,0s:18ms
Packomania 0 (195),195,15.54379912,19370019,6.27E-21,0,0s:19ms
Packomania 0 (200),200,15.75119643,21760832,7.64E-21,0,0s:21ms
Packomania 0 (205),205,15.90805152,23967975,7.74E-21,0,0s:23ms
Packomania 0 (210),210,16.14931768,23457723,1.23E-20,0,0s:23ms
Packomania 0 (215),215,16.28243481,26016400,8.26E-21,0,0s:26ms
Packomania 0 (220),220,16.39890905,29060950,1.25E-20,0,0s:29ms
Packomania 0 (225),225,16.53490693,26256935,8.79E-21,0,0s:26ms
Packomania 0 (230),230,16.90713793,30289961,8.82E-21,0,0s:30ms
Packomania 0 (235),235,17.06514106,29942206,8.96E-21,0,0s:29ms
Packomania 0 (240),240,17.14963914,30057686,1.32E-20,0,0s:30ms
Packomania 0 (245),245,17.25299972,28763207,1.38E-20,0,0s:28ms
Packomania 0 (250),250,17.37070554,30159133,1.38E-20,0,0s:30ms
Packomania 0 (255),255,17.72628456,77899751,1.40E-20,0,0s:77ms
Packomania 0 (260),260,17.89235924,47569211,1.20E-20,0,0s:47ms
Packomania 0 (265),265,17.95759417,33291989,1.63E-20,0,0s:33ms
Packomania 0 (270),270,18.1410252,32222053,1.24E-20,0,0s:32ms
Packomania 0 (275),275,18.22469348,33681160,1.33E-20,0,0s:33ms
Packomania 0 (280),280,18.42182539,34081705,1.91E-20,0,0s:34ms
Packomania 0 (285),285,18.64160813,36953520,1.39E-20,0,0s:36ms
Packomania 0 (290),290,18.84293615,36775823,1.39E-20,0,0s:36ms
Packomania 0 (295),295,18.98816179,36666358,2.02E-20,0,0s:36ms
Packomania 0 (300),300,19.08109305,38785633,1.44E-20,0,0s:38ms
Packomania 0 (305),305,19.2032964,37947696,1.56E-20,0,0s:37ms
Packomania 0 (310),310,19.33030278,40213006,1.57E-20,0,0s:40ms
Packomania 0 (315),315,19.69442381,42879415,2.22E-20,0,0s:42ms
Packomania 0 (320),320,19.80458365,42581686,2.22E-20,0,0s:42ms
Packomania 0 (325),325,19.84030353,41739643,1.70E-20,0,0s:41ms
Packomania 0 (330),330,20.01547278,42855499,1.74E-20,0,0s:42ms
Packomania 0 (335),335,20.13950611,43761766,1.74E-20,0,0s:43ms
Packomania 0 (340),340,20.36069426,44933435,1.75E-20,0,0s:44ms
Packomania 0 (345),345,20.52304634,47986908,2.48E-20,0,0s:47ms
Packomania 0 (350),350,20.54895489,46359665,1.85E-20,0,0s:46ms
Packomania 0 (355),355,20.65684098,49086072,2.67E-20,0,0s:49ms
Packomania 0 (360),360,20.84615385,51578266,2.77E-20,0,0s:51ms
Packomania 0 (365),365,20.99467385,54972548,2.84E-20,0,0s:54ms
Packomania 0 (370),370,21.11897793,52836442,2.13E-20,0,0s:52ms
Packomania 0 (375),375,21.31745675,53582781,2.35E-20,0,0s:53ms
Packomania 0 (380),380,21.43793492,55219386,2.36E-20,0,0s:55ms
Packomania 0 (385),385,21.55684318,56805205,2.87E-20,0,0s:56ms
Packomania 0 (390),390,21.66453015,56079853,3.00E-20,0,0s:56ms
Packomania 0 (395),395,21.74769638,59129905,3.11E-20,0,0s:59ms
Packomania 0 (400),400,21.90476642,58817291,3.18E-20,0,0s:58ms
Packomania 0 (405),405,22,59655522,2.68E-20,0,0s:59ms
Packomania 0 (410),410,22.21107361,61652805,3.22E-20,0,0s:61ms
Packomania 0 (415),415,22.36756008,62875945,3.32E-20,0,0s:62ms
Packomania 0 (420),420,22.42664798,64350462,3.36E-20,0,0s:64ms
Packomania 0 (425),425,22.59797658,65207455,3.45E-20,0,0s:65ms
Packomania 0 (430),430,22.71491227,73279774,2.94E-20,0,0s:73ms
Packomania 0 (435),435,22.82631792,70437785,3.61E-20,0,0s:70ms
Packomania 0 (440),440,22.9918728,70288278,3.68E-20,0,0s:70ms
Packomania 0 (445),445,23.16635288,68900599,3.18E-20,0,0s:68ms
Packomania 0 (450),450,23.21726014,71267880,3.37E-20,0,0s:71ms
Packomania 0 (455),455,23.35825976,71223649,3.38E-20,0,0s:71ms
Packomania 0 (460),460,23.4155135,74376057,3.58E-20,0,0s:74ms
Packomania 0 (465),465,23.47988939,76028352,3.58E-20,0,0s:76ms
Packomania 0 (470),470,23.74258017,78410440,4.46E-20,0,0s:78ms
Packomania 0 (475),475,23.79408362,78184347,3.78E-20,0,0s:78ms
Packomania 0 (480),480,23.91287847,80155334,4.72E-20,0,0s:80ms
Packomania 0 (485),485,24.15787342,80462709,4.74E-20,0,0s:80ms
Packomania 0 (490),490,24.24517941,81339075,4.77E-20,0,0s:81ms
Packomania 0 (495),495,24.33288393,85616521,4.79E-20,0,0s:85ms
Packomania 0 (500),500,24.52429941,87942005,4.26E-20,0,0s:87ms
Packomania 0 (510),510,24.64451562,86973691,5.13E-20,0,0s:86ms
Packomania 0 (520),520,24.87322808,89065643,5.51E-20,0,0s:89ms
Packomania 0 (530),530,25.07703685,94002372,4.99E-20,0,0s:94ms
Packomania 0 (540),540,25.33613662,100214772,5.80E-20,0,0s:100ms
Packomania 0 (550),550,25.58992395,99358838,5.25E-20,0,0s:99ms
Packomania 0 (560),560,25.69331893,103222552,5.44E-20,0,0s:103ms
Packomania 0 (570),570,25.9803014,108486748,5.59E-20,0,0s:108ms
Packomania 0 (580),580,26.05992817,107206266,6.63E-20,0,0s:107ms
Packomania 0 (590),590,26.52822526,119552285,6.88E-20,0,0s:119ms
Packomania 0 (600),600,26.68680507,114392692,7.06E-20,0,0s:114ms
Packomania 0 (610),610,26.78209063,122653174,7.24E-20,0,0s:122ms
Packomania 0 (620),620,27.0673468,120200122,6.78E-20,0,0s:120ms
Packomania 0 (630),630,27.28687886,131502066,7.00E-20,0,0s:131ms
Packomania 0 (640),640,27.53206826,126667253,7.22E-20,0,0s:126ms
Packomania 0 (650),650,27.64006425,133088899,8.85E-20,0,0s:133ms
Packomania 0 (660),660,27.90817651,136195626,9.15E-20,0,0s:136ms
Packomania 0 (670),670,28.05549852,139900517,9.40E-20,0,0s:139ms
Packomania 0 (680),680,28.40100025,144201782,9.52E-20,0,0s:144ms
Packomania 0 (690),690,28.54406055,146573013,8.82E-20,0,0s:146ms
Packomania 0 (700),700,28.67815023,145744573,1.05E-19,0,0s:145ms
Packomania 0 (710),710,29.0038737,148545715,9.24E-20,0,0s:148ms
Packomania 0 (720),720,29.0620614,151361273,9.65E-20,0,0s:151ms
Packomania 0 (730),730,29.36511542,163361926,1.11E-19,0,0s:163ms
Packomania 0 (740),740,29.50721237,156882888,1.19E-19,0,0s:156ms
Packomania 0 (750),750,29.67871233,160033523,1.06E-19,0,0s:160ms
Packomania 0 (760),760,29.95424395,167763028,1.28E-19,0,0s:167ms
Packomania 0 (770),770,30.24545905,172648674,1.30E-19,0,0s:172ms
Packomania 0 (780),780,30.32137294,171078250,1.32E-19,0,0s:171ms
Packomania 0 (790),790,30.50260509,185316849,1.34E-19,0,0s:185ms
Packomania 0 (800),800,30.67818507,174124206,1.20E-19,0,0s:174ms
Packomania 0 (810),810,30.77681777,187812202,1.41E-19,0,0s:187ms
Packomania 0 (820),820,30.95359671,182595505,1.23E-19,0,0s:182ms
Packomania 0 (830),830,31.13285519,187202962,1.24E-19,0,0s:187ms
Packomania 0 (840),840,31.2654919,197400892,1.28E-19,0,0s:197ms
Packomania 0 (850),850,31.54653575,202178181,1.32E-19,0,0s:202ms
Packomania 0 (860),860,31.78271508,207304373,1.36E-19,0,0s:207ms
Packomania 0 (870),870,31.89169848,207811897,1.64E-19,0,0s:207ms
Packomania 0 (880),880,32.04702079,215898548,1.74E-19,0,0s:215ms
Packomania 0 (890),890,32.23994446,215271643,1.77E-19,0,0s:215ms
Packomania 0 (900),900,32.42027288,215358307,1.87E-19,0,0s:215ms
Packomania 0 (910),910,32.66989681,224262240,1.92E-19,0,0s:224ms
Packomania 0 (920),920,32.78388285,227521345,1.92E-19,0,0s:227ms
Packomania 0 (930),930,32.89079936,231251073,1.93E-19,0,0s:231ms
Packomania 0 (940),940,33.11875264,234193754,1.63E-19,0,0s:234ms
Packomania 0 (950),950,33.18695388,232106141,1.95E-19,0,0s:232ms
Packomania 0 (960),960,33.54983256,248201676,1.99E-19,0,0s:248ms
Packomania 0 (970),970,33.65881357,253300146,2.02E-19,0,0s:253ms
Packomania 0 (980),980,33.80753366,253021960,1.81E-19,0,0s:253ms
Packomania 0 (990),990,33.96319611,246774368,1.91E-19,0,0s:246ms
Packomania 0 (1000),1000,34.19787581,252057118,1.94E-19,0,0s:252ms
Packomania 0 (1100),1100,35.8477868,295306265,2.41E-19,0,0s:295ms
Packomania 0 (1200),1200,37.28489633,336890560,2.94E-19,0,0s:336ms
Packomania 0 (1300),1300,38.89323424,391075282,3.45E-19,0,0s:391ms
Packomania 0 (1400),1400,40.26528552,425389057,3.81E-19,0,0s:425ms
Packomania 0 (1500),1500,41.68391561,472295495,4.29E-19,0,0s:472ms
Packomania 0 (1600),1600,42.93386435,530941288,4.76E-19,0,0s:530ms
Packomania 0 (1700),1700,44.30874729,581339368,6.18E-19,0,0s:581ms
Packomania 0 (1800),1800,45.52705198,644038716,7.04E-19,0,0s:644ms
Packomania 0 (1900),1900,46.78978667,698443738,6.85E-19,0,0s:698ms
Packomania 0 (2000),2000,47.98140222,747911182,7.66E-19,0,0s:747ms
Packomania 0 (3000),3000,58.49108183,1447660770,1.76E-18,0,1s:447ms
Packomania 0 (4000),4000,67.45994578,2325553502,3.07E-18,0,2s:325ms
Packomania 0 (5000),5000,75.2832421,3237350716,4.80E-18,0,3s:237ms
Packomania 0 (6000),6000,82.39743073,4300217698,7.21E-18,0,4s:300ms
Packomania 0 (7000),7000,88.91507648,5544646568,1.03E-17,0,5s:544ms
Packomania 0 (8000),8000,95.01109884,6842782713,1.43E-17,0,6s:842ms
Packomania 0 (9000),9000,100.6438734,8315717900,1.89E-17,0,8s:315ms
Packomania 0 (10000),10000,106.0253597,9848600623,2.32E-17,0,9s:848ms
Packomania 0 (11000),11000,111.1346661,11309738788,3.14E-17,0,11s:309ms
Packomania 0 (12000),12000,116.0794088,12915675230,3.76E-17,0,12s:915ms
Packomania 0 (13000),13000,120.7501442,14766354806,4.43E-17,0,14s:766ms
Packomania 0 (14000),14000,125.3002024,16606776209,5.07E-17,0,16s:606ms
Packomania 1/2 (100),100,79.96233173,8372416,6.94E-20,0,0s:8ms
Packomania 1/2 (105),105,84.05143842,9100304,7.37E-20,0,0s:9ms
Packomania 1/2 (110),110,87.78557861,9963723,1.02E-19,0,0s:9ms
Packomania 1/2 (115),115,91.45993336,10613452,7.77E-20,0,0s:10ms
Packomania 1/2 (120),120,95.12707047,11377845,1.12E-19,0,0s:11ms
Packomania 1/2 (125),125,98.77159523,12078656,8.44E-20,0,0s:12ms
Packomania 1/2 (130),130,103.1136716,12985851,1.26E-19,0,0s:12ms
Packomania 1/2 (135),135,106.654298,14208520,1.35E-19,0,0s:14ms
Packomania 1/2 (140),140,110.5885873,14445825,1.38E-19,0,0s:14ms
Packomania 1/2 (145),145,114.4085476,15772178,1.71E-19,0,0s:15ms
Packomania 1/2 (150),150,118.8037909,16605024,2.24E-19,0,0s:16ms
Packomania 1/2 (155),155,122.7246615,17134931,1.71E-19,0,0s:17ms
Packomania 1/2 (160),160,126.306219,17887711,2.21E-19,0,0s:17ms
Packomania 1/2 (165),165,130.1440849,19504619,2.69E-19,0,0s:19ms
Packomania 1/2 (170),170,133.468773,19990995,2.18E-19,0,0s:19ms
Packomania 1/2 (175),175,137.7670791,20958687,2.92E-19,0,0s:20ms
Packomania 1/2 (180),180,142.2191787,22482249,2.50E-19,0,0s:22ms
Packomania 1/2 (185),185,145.7746463,23471735,2.72E-19,0,0s:23ms
Packomania 1/2 (190),190,149.2413921,23554404,3.48E-19,0,0s:23ms
Packomania 1/2 (195),195,153.4548863,24638172,2.96E-19,0,0s:24ms
Packomania 1/2 (200),200,157.7215756,25881336,3.20E-19,0,0s:25ms
Packomania 1/2 (205),205,161.1156616,27466970,4.83E-19,0,0s:27ms
Packomania 1/2 (210),210,165.1317966,27268002,4.46E-19,0,0s:27ms
Packomania 1/2 (215),215,169.0203607,28239560,5.05E-19,0,0s:28ms
Packomania 1/2 (220),220,172.5390454,29981948,4.51E-19,0,0s:29ms
Packomania 1/2 (225),225,177.542319,31709536,5.21E-19,0,0s:31ms
Packomania 1/2 (230),230,180.714303,32612546,5.19E-19,0,0s:32ms
Packomania 1/2 (235),235,184.5412236,33371011,5.35E-19,0,0s:33ms
Packomania 1/2 (240),240,188.7016149,34394647,5.37E-19,0,0s:34ms
Packomania 1/2 (245),245,192.2475854,35081796,6.17E-19,0,0s:35ms
Packomania 1/2 (250),250,195.7658459,37129509,6.22E-19,0,0s:37ms
Packomania 1/2 (255),255,200.4262244,37110582,6.71E-19,0,0s:37ms
Packomania 1/2 (260),260,203.7903222,38548995,8.38E-19,0,0s:38ms
Packomania 1/2 (265),265,207.6218597,39258385,8.89E-19,0,0s:39ms
Packomania 1/2 (270),270,211.3834331,40293546,8.55E-19,0,0s:40ms
Packomania 1/2 (275),275,215.1642398,42550826,9.50E-19,0,0s:42ms
Packomania 1/2 (280),280,219.2278677,43299261,8.38E-19,0,0s:43ms
Packomania 1/2 (285),285,223.656158,43787898,9.54E-19,0,0s:43ms
Packomania 1/2 (290),290,226.903278,45668350,9.43E-19,0,0s:45ms
Packomania 1/2 (295),295,230.7994902,46801155,1.10E-18,0,0s:46ms
Packomania 1/2 (300),300,234.6681225,47681183,9.59E-19,0,0s:47ms
Packomania 1/2 (305),305,238.5051768,50266759,1.09E-18,0,0s:50ms
Packomania 1/2 (310),310,243.3099584,51870076,9.40E-19,0,0s:51ms
Packomania 1/2 (315),315,247.0706903,54361088,1.15E-18,0,0s:54ms
Packomania 1/2 (320),320,251.2033705,58123854,1.05E-18,0,0s:58ms
Packomania 1/2 (325),325,255.1719615,56915138,1.48E-18,0,0s:56ms
Packomania 1/2 (330),330,257.9970656,57022049,1.25E-18,0,0s:57ms
Packomania 1/2 (335),335,262.5511235,57753015,1.34E-18,0,0s:57ms
Packomania 1/2 (340),340,265.9126966,59128333,1.56E-18,0,0s:59ms
Packomania 1/2 (345),345,270.1469745,60487585,1.54E-18,0,0s:60ms
Packomania 1/2 (350),350,273.161874,60813382,1.50E-18,0,0s:60ms
Packomania 1/2 (355),355,277.8346517,64677978,1.52E-18,0,0s:64ms
Packomania 1/2 (360),360,281.1886388,64784742,1.82E-18,0,0s:64ms
Packomania 1/2 (365),365,284.9948165,66263356,1.81E-18,0,0s:66ms
Packomania 1/2 (370),370,289.3322195,70966198,1.85E-18,0,0s:70ms
Packomania 1/2 (375),375,292.9225658,68359276,2.19E-18,0,0s:68ms
Packomania 1/2 (380),380,296.0780502,68766937,2.06E-18,0,0s:68ms
Packomania 1/2 (385),385,301.0845836,71895305,1.98E-18,0,0s:71ms
Packomania 1/2 (390),390,304.3952004,72881825,2.09E-18,0,0s:72ms
Packomania 1/2 (395),395,308.1938475,74110528,2.03E-18,0,0s:74ms
Packomania 1/2 (400),400,312.5865133,75263227,2.16E-18,0,0s:75ms
Packomania 1/2 (405),405,316.4206369,80478983,2.27E-18,0,0s:80ms
Packomania 1/2 (410),410,320.6676396,81308554,2.22E-18,0,0s:81ms
Packomania 1/2 (415),415,323.4776434,82343832,2.26E-18,0,0s:82ms
Packomania 1/2 (420),420,327.0737374,86792049,2.54E-18,0,0s:86ms
Packomania 1/2 (425),425,333.1675337,85843586,2.53E-18,0,0s:85ms
Packomania 1/2 (430),430,335.4957382,83038535,2.61E-18,0,0s:83ms
Packomania 1/2 (435),435,339.5329845,92993333,3.24E-18,0,0s:92ms
Packomania 1/2 (440),440,342.7604707,94842089,3.25E-18,0,0s:94ms
Packomania 1/2 (445),445,346.1088676,92390232,3.15E-18,0,0s:92ms
Packomania 1/2 (450),450,350.8373936,92507269,3.24E-18,0,0s:92ms
Packomania 1/2 (455),455,354.4617437,92898188,2.98E-18,0,0s:92ms
Packomania 1/2 (460),460,357.7972301,94902703,3.37E-18,0,0s:94ms
Packomania 1/2 (465),465,362.1526092,100301482,3.59E-18,0,0s:100ms
Packomania 1/2 (470),470,366.4407143,103314176,3.09E-18,0,0s:103ms
Packomania 1/2 (475),475,369.4044264,101491368,3.49E-18,0,0s:101ms
Packomania 1/2 (480),480,373.6747202,102958360,3.90E-18,0,0s:102ms
Packomania 1/2 (485),485,377.4925095,102923419,3.82E-18,0,0s:102ms
Packomania 1/2 (490),490,382.1702947,103415388,3.39E-18,0,0s:103ms
Packomania 1/2 (495),495,385.9004623,109571063,4.40E-18,0,0s:109ms
Packomania 1/2 (500),500,388.6269025,111975825,4.12E-18,0,0s:111ms
Packomania 1/2 (510),510,397.4158857,111591399,4.46E-18,0,0s:111ms
Packomania 1/2 (520),520,405.3783735,121499008,5.09E-18,0,0s:121ms
Packomania 1/2 (530),530,413.0394354,120494133,4.54E-18,0,0s:120ms
Packomania 1/2 (540),540,419.465747,129738595,5.92E-18,0,0s:129ms
Packomania 1/2 (550),550,427.9764321,131518852,4.68E-18,0,0s:131ms
Packomania 1/2 (560),560,435.3921165,131837195,6.05E-18,0,0s:131ms
Packomania 1/2 (570),570,444.0256876,135331427,5.79E-18,0,0s:135ms
Packomania 1/2 (580),580,451.2569651,140212573,6.86E-18,0,0s:140ms
Packomania 1/2 (590),590,457.4949866,138916537,6.22E-18,0,0s:138ms
Packomania 1/2 (600),600,466.4985543,154476013,6.12E-18,0,0s:154ms
Packomania 1/2 (610),610,473.0908132,153024534,6.10E-18,0,0s:153ms
Packomania 1/2 (620),620,481.2584853,154672901,6.81E-18,0,0s:154ms
Packomania 1/2 (630),630,489.7126498,158540765,7.66E-18,0,0s:158ms
Packomania 1/2 (640),640,497.0666802,160833900,7.29E-18,0,0s:160ms
Packomania 1/2 (650),650,504.0676938,169236290,7.92E-18,0,0s:169ms
Packomania 1/2 (660),660,511.6301012,171669231,7.63E-18,0,0s:171ms
Packomania 1/2 (670),670,521.5962752,173547988,8.28E-18,0,0s:173ms
Packomania 1/2 (680),680,528.8311877,187560486,8.46E-18,0,0s:187ms
Packomania 1/2 (690),690,535.2035056,180387382,9.73E-18,0,0s:180ms
Packomania 1/2 (700),700,542.8952149,184804381,8.04E-18,0,0s:184ms
Packomania 1/2 (710),710,551.0170143,190464020,1.01E-17,0,0s:190ms
Packomania 1/2 (720),720,558.1588392,198638620,1.05E-17,0,0s:198ms
Packomania 1/2 (730),730,567.4901584,196576869,9.77E-18,0,0s:196ms
Packomania 1/2 (740),740,573.276518,203859958,1.23E-17,0,0s:203ms
Packomania 1/2 (750),750,581.2298345,204748798,1.20E-17,0,0s:204ms
Packomania 1/2 (760),760,589.8934426,216726800,1.39E-17,0,0s:216ms
Packomania 1/2 (770),770,597.0198136,222512318,1.40E-17,0,0s:222ms
